time per pixel (ns), energy per pixel (nJ), rows, ways, l1_size
1.509751412,0.181768738,1,1,4096
1.768077242,0.215032094,1,1,8192
1.482920075,0.150951873,1,1,16384
2.069142033,0.212848891,1,1,32768
1.522085778,0.183743978,2,1,4096
1.777068029,0.216471889,2,1,8192
1.098238671,0.089348552,2,1,16384
1.744698904,0.160892197,2,1,32768
1.420406518,0.167340935,3,1,4096
1.489675197,0.170312252,3,1,8192
1.176261966,0.101670242,3,1,16384
1.571419818,0.132906073,3,1,32768
1.214000082,0.134406782,4,1,4096
1.381054918,0.153053895,4,1,8192
1.251715969,0.113926582,4,1,16384
1.524942515,0.125700157,4,1,32768
1.114376357,0.118452924,5,1,4096
1.231260942,0.129065717,5,1,8192
1.291938349,0.12036784,5,1,16384
1.597759607,0.137361169,5,1,32768
1.030938199,0.104611005,6,1,4096
1.147031629,0.115032259,6,1,8192
1.251252919,0.113160231,6,1,16384
1.511997881,0.122679141,6,1,32768
2.63544118,0.337351141,1,2,4096
3.339246203,0.4528578,1,2,8192
2.659673187,0.353695225,1,2,16384
1.579503161,0.174072126,1,2,32768
1.907828807,0.220996844,2,2,4096
2.329973989,0.29146258,2,2,8192
2.049607053,0.256138038,2,2,16384
1.751859114,0.201633993,2,2,32768
1.947936776,0.227242431,3,2,4096
1.730757063,0.195478058,3,2,8192
1.698163257,0.199794551,3,2,16384
1.689173439,0.191452751,3,2,32768
1.810600623,0.205448844,4,2,4096
1.536627484,0.164596575,4,2,8192
1.628825032,0.188849743,4,2,16384
1.64494734,0.184537467,4,2,32768
1.668497893,0.182724844,5,2,4096
1.484819641,0.156311855,5,2,8192
1.599300957,0.184128475,5,2,16384
1.655509318,0.186226459,5,2,32768
1.559332838,0.16459528,6,2,4096
1.559791537,0.167651762,6,2,8192
1.654566641,0.19239319,6,2,16384
1.619912011,0.179905924,6,2,32768
3.791574239,0.514035903,1,4,8192
3.761524387,0.513956552,1,4,16384
2.646217802,0.330995142,1,4,32768
3.067633779,0.397268437,2,4,8192
3.140218416,0.413743444,2,4,16384
2.416939487,0.294013858,2,4,32768
2.351102457,0.281500977,3,4,8192
2.517307562,0.313085966,3,4,16384
2.586169991,0.321118124,3,4,32768
2.422118429,0.293150495,4,4,8192
2.633749517,0.3320529,4,4,16384
2.516598878,0.31008835,4,4,32768
2.442386549,0.296419627,5,4,8192
2.539746643,0.316890773,5,4,16384
2.384677339,0.288810158,5,4,32768
2.417237034,0.291582966,6,4,8192
2.352965531,0.286021999,6,4,16384
2.444379356,0.297673155,6,4,32768
6.021617079,0.949118454,1,8,16384
4.736667165,0.72935282,1,8,32768
4.344301978,0.676932232,2,8,16384
4.128919852,0.630730656,2,8,32768
4.120511215,0.640560519,3,8,16384
4.088724547,0.624129385,3,8,32768
4.371417769,0.681332446,4,8,16384
4.12945237,0.63081707,4,8,32768
4.20589429,0.654472131,5,8,16384
4.238955008,0.648586605,5,8,32768
4.331648227,0.674654532,6,8,16384
4.167381117,0.636657639,6,8,32768